./adv/NAA-inception_v3/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
96.70%,82.80%,80.70%,71.50%,66.30%,75.80%,75.00%,72.10%,70.60%,56.50%,59.10%,50.00%,51.60%,31.60%
./adv/NAAPIDI-inception_v3/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
97.10%,86.70%,85.30%,80.40%,77.10%,81.30%,79.50%,82.00%,80.20%,63.00%,64.40%,53.40%,52.80%,34.20%
./adv/NRDM-inception_v3/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
90.10%,62.00%,51.20%,54.90%,39.80%,63.70%,47.70%,39.80%,40.00%,26.80%,18.90%,9.40%,12.40%,5.20%
./adv/MIM-inception_v3/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
100.00%,42.20%,39.20%,38.90%,32.10%,36.40%,32.10%,39.70%,37.70%,22.90%,18.10%,16.00%,16.00%,8.20%
./adv/FDA-inception_v3/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
81.80%,43.20%,36.70%,43.20%,31.20%,46.40%,35.70%,34.30%,31.50%,19.40%,12.30%,9.30%,12.00%,4.60%
./adv/FIA-inception_v3/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
97.00%,79.60%,76.50%,69.20%,64.40%,74.90%,72.50%,69.70%,70.10%,54.00%,54.90%,43.40%,42.80%,23.70%
./adv/FIAPIDI-inception_v3/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
96.30%,84.80%,82.70%,80.30%,76.00%,81.00%,80.10%,79.40%,80.70%,60.50%,60.80%,46.00%,46.30%,26.80%
./adv/FDAPIDI-inception_v3/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
75.50%,49.70%,47.20%,53.80%,41.60%,51.10%,42.20%,44.90%,43.60%,24.00%,15.40%,11.20%,13.60%,6.80%
./adv/MIMPIDI-inception_v3/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
99.80%,72.30%,67.90%,58.20%,53.70%,61.10%,54.90%,63.90%,60.60%,32.60%,28.10%,21.00%,21.10%,10.20%
./adv/NRDMPIDI-inception_v3/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
86.30%,66.80%,63.60%,67.10%,52.30%,70.40%,58.70%,55.80%,57.10%,29.60%,23.00%,12.00%,13.40%,6.60%
./adv/NAA-ILSVRC2012_sub/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
68.00%,36.30%,36.90%,38.50%,34.30%,36.20%,31.70%,39.80%,40.00%,23.50%,22.80%,20.80%,20.20%,14.80%
./adv/FIA-ILSVRC2012_sub/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
84.80%,54.10%,50.70%,50.50%,45.60%,49.60%,47.20%,51.40%,50.40%,31.00%,30.10%,24.10%,22.30%,16.10%
./adv/NRDM-ILSVRC2012_sub/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
90.70%,57.60%,50.60%,57.80%,46.10%,63.10%,50.40%,42.30%,43.50%,31.00%,25.00%,16.70%,16.40%,9.80%
./adv/MIM-ILSVRC2012_sub/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
100.00%,47.60%,45.80%,45.10%,36.80%,43.70%,38.60%,40.70%,42.90%,28.40%,27.50%,21.50%,21.70%,13.90%
./adv/FDA-ILSVRC2012_sub/,,,,,,,,,,,,,
inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
81.70%,42.60%,38.10%,46.20%,37.70%,44.60%,38.30%,37.00%,37.40%,23.50%,18.00%,16.60%,15.90%,9.50%
